Navn,Fødselsdato,Adresse,cpr_nr,Arbejdsplads,Telefonnummer,Job titel,Indkomst,Email
Prof. Jean Eriksen,2018-04-30,"Dybensvej 655
7620 Føllenslev",0851486486,Thomsen & Søn ApS,+45 8355 9352,Indretningsarkitekt,114940,margit93@example.net
Stig Steffensen,1927-01-20,"Mosedal Allé 5
9838 Strøby",7817990244,Mathiesen & Søn ApS,08902045,Laboratorieleder,89341,othygesen@example.com
Yan Kjær,1993-02-17,"Kirstinedalsvej 6
2664 Haderslev",3500288858,Klausen & Søn A/S,+45 17 59 69 51,Levnedsmiddelinspektør,74055,bitten91@example.org
Fru Tove Svendsen,1970-02-17,"Nordre Kongelundsvej 23
1217 Ringe",1141258158,Steffensen & Clausen ApS,70426914,Lægesekretær,138539,josefinemathiesen@example.com
Bitten Lauritsen,1991-01-16,"Dronning Elisabeths Allé 42
8433 Klippinge",9646274549,Lassen & Lind ApS,08186892,Rejsebureauelev,53710,xtoft@example.org
Dorthe Clausen,1938-06-24,"Mimers Allé 964
2391 Bjert",5697672566,Jacobsen A/S,8088 3599,Restaurantchef,82845,wkjeldsen@example.net
Anton Jacobsen,1985-07-24,"Børskovvej 44
6489 Svinninge",8101894088,Vestergaard ApS,+45 9391 1927,Rejsebureauelev,72885,jakobsenliva@example.com
Univ.Prof. Merethe Danielsen,1957-03-10,"Matthæusstræde 93
4188 Dalmose",5600562028,Mathiasen & Thygesen A/S,+45 34 17 26 69,Kloakmester,109379,pedersendaniel@example.org
Univ.Prof. Karlo Madsen,1914-06-10,"Nybrogade 542
3595 Ugerløse",2186923086,Mikkelsen & Søn A/S,+45 1964 2329,Direktør,127651,pedersenselma@example.com
Sys Mortensen,1946-03-09,"Romsøstræde 63
6839 Juelsminde",4738297289,Jeppesen & Søn A/S,59 81 11 20,Elektronikarbejder,89829,jannie21@example.com
Anton Mikkelsen,1998-07-05,"Tingvej 56
9378 Ranum",2498600569,Brandt A/S,26 42 96 20,Vagt,135248,apetersen@example.net
Winnie Pedersen-Nørgaard,1932-07-16,"Krudtmøllegårds Allé 5
4408 Nimtofte",4930779162,Holst & Madsen ApS,+45 4616 4349,Revisor,139222,schouberit@example.org
Ludvig Jeppesen,1964-05-03,"Frederiksvej 576
8720 Øster Assels",2554233247,Andersen & Søn ApS,+45 78 49 77 73,Agronom,112677,rikkejakobsen@example.org
Winnie Mortensen,1988-12-27,"Skanderborgvej 82
1845 Haderslev",9581081045,Holst A/S,42 14 00 24,Lods,63874,mthygesen@example.com
Prof. Bob Hansen,1975-11-11,"Skovstjernestræde 327
4437 Klippinge",1430145943,Skov & Christoffersen ApS,+45 2347 5672,Detektiv,70143,allan35@example.com
Bent Dahl,1936-09-30,"Lille Istedgade 495
3084 Birkerød",0752026898,Lassen & Hansen ApS,3582 1956,Materialetekniker,130000,mathiaspoulsen@example.org
Kasper Jessen,1916-06-22,"Ørholmvej 958
4831 Næstved",6462448052,Kristoffersen A/S,+45 5861 0850,Helikopterfører,117476,ulfmogensen@example.org
Simon Christiansen,1959-03-02,"Neapelvej 7
1792 Sandved",2436789082,Larsen & Søn ApS,7361 1098,Lager- og logistikmedarbejder,123559,toftjosefine@example.net
Svenning Kjær,2001-07-27,"Lagergade 58
3432 Køge",3104485242,Friis A/S,66934198,Bore- og udvindingsarbejder,96250,timmy37@example.net
Allan Jakobsen-Lassen,1953-09-04,"Gyvel Allé 43
2241 Munke Bjergby",7403821874,Skov & Schultz ApS,90 77 65 64,Kontorassistent,139906,simonsenyrsa@example.com
Frede Hermansen-Krogh,1913-12-14,"Knuthenborggade 3
8890 Frederikssund",9059396871,Schou & Kjær ApS,+45 24 20 28 18,Støttepædagog,94221,ijespersen@example.com
Palle Schultz,1934-03-22,"Rugagervej 13
4789 Hornsyld",4072333617,Olsen ApS,+45 9765 2194,Speciallærer,149999,christensendorthe@example.org
Prof. Marie Winther,1951-01-22,"Tøjmesterstræde 19
9559 Skårup",1611610513,Thomsen & Søndergaard ApS,70640607,Arkivar,118014,larsmoller@example.org
